prompt,answer
The cattle boom of the late 1800s ended abruptly in part because of the,severe winter weather of the 1880s 
Which of the following rights did the Emancipation Proclamation confer on which group of people?,It freed all slaves in the states in open rebellion. 
Prohibition had all the following effects EXCEPT:,"People in the United States stopped buying, selling, and drinking alcoholic beverages. "
Which of the following is the best example of the importance of a free press in a republic?,The disclosure of high crimes committed by members of the Nixon administration 
Cuba and the Philippines were the primary battle grounds in which of the following wars?,Spanish-American War 
"Which of the following political parties passed a ""gag rule"" in 1837 that banned any discussion of abolition in Congress?",Democratic Party 
The Antifederalists were unwilling to approve the Constitution primarily because,it did not include a Bill of Rights 
The completion of the transcontinental railroad in 1869 had all the following effects EXCEPT:,rise in automobile ownership and production
"Newspaper illustrator-""Everything is quiet. There is no trouble here. There will be no war. I wish to return."" Editor-""Please remain. You furnish the pictures and I'll furnish the war."" The above exchange of telegrams most likely refers to",the Spanish-American War 
"Before the United States gained sovereignty over the Panama Canal, it had been the project of",a French company led by Ferdinand de Lesseps 
Puritan authorities banished Roger Williams from the Massachusetts Bay Colony primarily because he,believed in strict separation of church and state 
Which of the following Founding Fathers was never elected president of the United States?,Elbridge Gerry 
Confederate leaders hoped for a military alliance with Great Britain and France primarily because,the Confederate industrial base was much smaller than the Union's 
Which of the following women was an outspoken critic of the Equal Rights Amendment?,Phyllis Schlafly 
The Comstock Lode was discovered in 1857 in which of the following present-day states?,Nevada 
Rosie the Riveter became famous in the 1940s as which of the following?,A symbol of the importance of female workers to the war effort 
"Which of the following statements best defines the economic term ""depression""?",A sharp drop in business activity along with rising unemployment 
Francis Cabot Lowell's development of the power loom in Massachusetts in the early 1800s gave rise to which of the following?,The factory system 
New York Governor Alfred Smith's 1928 campaign for the presidency marked the first time that,a Catholic ran for president 
George Rogers Clark made which of the following contributions to the Revolutionary War in the North west Territory?,"He captured Forts Kaskaskia, Cahokia, and Vincennes. "
Southern farmers who could not afford slaves sup ported the institution of slavery primarily because,slavery gave poor whites status and a stake in society 
